File Number,Company Name,County,Region,Service Category Name,Email,Phone No
TRA1/47/B01/450,DEPARTURE LOUNGE-ZURU,Nairobi,Nairobi,Restaurants,customerservice@servair.co.ke,722205287
TRA1/47/B01/451,MERCADO MEXICAN KITCHEN & BAR,Nairobi,Nairobi,Restaurants,admin@thefoodlibrary.co.ke,729900539
TRA1/47/B01/466,"ARTCAFFE COFFEE & BAKERY LIMITED-WESTGATE MALL GRAND ",Nairobi,Nairobi,Restaurants,sagi.vaknin@artcaffe.co.ke,709276000
TRA1/47/B01/468,ARTCAFE COFFEE & BAKERY LIMITED-TWO RIVERS,Nairobi,Nairobi,Restaurants,sagi.vaknin@artcaffe.co.ke,709276000
TRA1/47/B01/470,ARTCAFFE COFFEE & BAKERY LIMITED-THE ADDRESS,Nairobi,Nairobi,Restaurants,sagi.vaknin@artcaffe.co.ke,709276000
TRA1/47/B01/477,ARTCAFFE COFFEE & BAKERY LIMITED-YAYA CENTRE,Nairobi,Nairobi,Restaurants,sagi.vaknin@artcaffe.co.ke,709276000
TRA1/47/B01/479,CONFERENCE CATERERS,Nairobi,Nairobi,Restaurants,Cconcaters2014@gmail.com,728888431
TRA1/47/B01/481,ARTCAFFE COFFEE & BAKERY LIMITED-OVAL,Nairobi,Nairobi,Restaurants,sagi.vaknin@artcaffe.co.ke,709276000
TRA1/47/B01/482,CHINESE CORNER LTD (SARIT CENTER),Nairobi,Nairobi,Restaurants,timojappinen@hotmail.com,722707740
TRA1/47/B01/495,CHURRASCO GAUCHO LTD,Nairobi,Nairobi,Restaurants,fogogauchoaccts@gmail.com,708712255
TRA1/47/B01/501,THE GRACEFUL CHINESE RESTAURANT,Nairobi,Nairobi,Restaurants,gracefultaste@gamail.com,717373369
TRA1/47/B01/510,MAHRAJ RESTAURANT LIMITED,Nairobi,Nairobi,Restaurants,deepchandjoshi@gmail.com,733737316
TRA1/47/B01/512,"NEW FRESH ""N"" HEALTHY",Nairobi,Nairobi,Restaurants,gang_jsg@yahoo.com,719106692
TRA1/47/B01/527,NIRVANA VEGETARIAN KHAZANA LTD,Nairobi,Nairobi,Restaurants,nirvanakhazana@gmail.com,713939423
TRA1/47/B01/552,ANGHITI RESTAURANT LTD,Nairobi,Nairobi,Restaurants,anghiti88@gmail.com,073432033O
TRA1/47/B01/553,HAANDI RESTAURANT LTD,Nairobi,Nairobi,Restaurants,haandi@haandi-kenya.com,737518780
TRA1/47/B01/564,TAMARIND BRASSERIE KAREN,Nairobi,Nairobi,Restaurants,assistant.hr@tamarind.co.ke,727604401
TRA1/47/B01/574,TAJ EXPRESS (K) LTD,Nairobi,Nairobi,Restaurants,dhanjalmotorworks@yahoo.com,722707025
TRA1/47/B01/576,NAS AIRPORT SERVICES,Nairobi,Nairobi,Restaurants,caroline.njeri@servair.co.ke,2.54723E+11
TRA1/47/B01/594,ROAD HOUSE GRILL ARWING KODHEK RD,Nairobi,Nairobi,Restaurants,roadhouse@intercitymanagement.com,723799828
TRA1/47/B01/22502,KENTUCKY FISH & CHIPS,Nairobi,Nairobi,Restaurants,simon.mugaa06@gmail.com,717292956
TRA1/47/B01/601,ABOUT THYME RESTAURANT,Nairobi,Nairobi,Restaurants,accounts@about-thyme.com,721850026
TRA1/47/B01/616,TOKYO RESTAURANT,Nairobi,Nairobi,Restaurants,tokyonbi@gmail.com,2.54723E+11
TRA1/47/B01/619,CARNIVORE RESTAURANT,Nairobi,Nairobi,Restaurants,maureen.0miroi@tamarind.co.ke,727604401
TRA1/47/B01/644,ANKOLE GRILL LIMITED,Nairobi,Nairobi,Restaurants,admin@ankole.co.ke,2.54734E+11
TRA1/47/B01/660,MAJID ALFUTTAHIM HYPERMARKET LIMITED-CARREFOUR NEXTGEN MALL,Nairobi,Nairobi,Restaurants,amarore@mafcarrefour.com,741586988
TRA1/47/B01/666,KINGSBURY GROUP LIMITED,Nairobi,Nairobi,Restaurants,events@misterwok.net,2.54724E+11
TRA1/47/B01/676,OPEN HOUSE RESTAURANT KAREN,Nairobi,Nairobi,Restaurants,openhousekaren@gmail.com,725585175
TRA1/47/B01/691,"ARTICAFFE COFFEE AND BAKERY LIMITED-VILLAGE MARKET ",Nairobi,Nairobi,Restaurants,tworivers@artcaffe.com,709276000
TRA1/47/B01/700,AFRITOPIA LIMITED T/A ROCOMAMAS VILLAGE MARKET,Nairobi,Nairobi,Restaurants,lafritopia@gmail.com,2.54736E+11
TRA1/47/B01/723,ASIANA KENYA LIMITED,Nairobi,Nairobi,Restaurants,furusatonairobi@gmail.com,798189353
TRA1/47/B01/729,TIN TIN RESTAURANT LTD,Nairobi,Nairobi,Restaurants,finance@tintin.co.ke,717503238
TRA1/47/B01/737,KINGSBURY GROUP LTD T/A MISTER WOK,Nairobi,Nairobi,Restaurants,events@misterwok.net,2.54724E+11
TRA1/47/B01/756,ROAD HOUSE GRILL DENNIS PRITT,Nairobi,Nairobi,Restaurants,roadhouse@intercitymanagement.com,0
TRA1/47/B01/761,SIA QSR KENYA LTD   BURGER KING TRM,Nairobi,Nairobi,Restaurants,esther.karongo@servair.co.ke,738930306
TRA1/47/B01/763,SAAPE LTD ETB,Nairobi,Nairobi,Restaurants,finance@saape.co.ke,728830467
TRA1/47/B01/764,SAAPE LTD LAVINGTON MALL,Nairobi,Nairobi,Restaurants,finance@saape.co.ke,728830467
TRA1/47/B01/22657,"MC FRYS LIMITED - MAGHARIBI ",Nairobi,Nairobi,Restaurants,mcfrysltd@gmail.com,731998998
TRA1/47/B01/22658,MC FRYS LIMITED - RACECOURSE,Nairobi,Nairobi,Restaurants,mcfrysltd@gmail.com,731998998
TRA1/47/B01/22659,MC FRYS LIMITED  BUTERE,Nairobi,Nairobi,Restaurants,mcfrysltd@gmail.com,731998998
TRA1/47/B01/22660,"MC FRYS LIMITED- GALLERIA ",Nairobi,Nairobi,Restaurants,mcfrysltd@gmail.com,731998998
TRA1/47/B01/22661,"MC FRYS LIMITED- SOUTH B ",Nairobi,Nairobi,Restaurants,mcfrysltd@gmail.com,731998998
TRA1/47/B01/22665,MC FRYS LIMITED- ADAMS ARCADE,Nairobi,Nairobi,Restaurants,mcfrysltd@gmail.com,731998998
TRA1/47/B01/22666,MC FRYS LIMITED - LAVINGTON,Nairobi,Nairobi,Restaurants,mcfrysltd@gmail.com,731998998
TRA1/47/B01/22667,MC FRYS  LIMITED - HIGHRIDGE,Nairobi,Nairobi,Restaurants,mcfrysltd@gmail.com,731998998
TRA1/47/B01/22668,MC FRYS LIMITED - WESTLANDS,Nairobi,Nairobi,Restaurants,mcfrysltd@gmail.com,731998998
TRA1/47/B01/22669,MC FRYS LIMITED - HURLINGHAM,Nairobi,Nairobi,Restaurants,mcfrysltd@gmail.com,731998998
TRA1/47/B01/22670,MC FRYS LIMITED NAIROBI WEST,Nairobi,Nairobi,Restaurants,mcfrysltd@gmail.com,731998998
TRA1/47/B01/22671,MC FRYS LIMITED - GIGIRI,Nairobi,Nairobi,Restaurants,mcfrysltd@gmail.com,731998998
TRA1/47/B01/22672,MC FRYS LIMITED - KAREN,Nairobi,Nairobi,Restaurants,mcfrysltd@gmail.com,731998998
TRA1/47/BO2/802,LSG SKY CHEFS KENYA LTD,Nairobi,Nairobi,Restaurants,george.mathew@lsgskychefs.com,2.54724E+11
TRA1/47/B01/830,AFRITOPIA LTD T/A SILVER STREAM SPUR,Nairobi,Nairobi,Restaurants,LAFRITOPIA@GMAIL.COM,2.54736E+11
TRA1/47/B01/853,THE TAVERN LTD,Nairobi,Nairobi,Restaurants,chana@gablesgroup.co.ke,720636323
TRA1/47/B01/870,GUSTO & ARTE LIMITED,Nairobi,Nairobi,Restaurants,rusticals@gmail.com,708317236
TRA1/47/B01/875,HOTSPOT COFFEE LOUNGE LTD,Nairobi,Nairobi,Restaurants,hotspotcoffee@gmail.com,721890784
TRA1/47/B01/881,EAGLE PEAK LTD,Nairobi,Nairobi,Restaurants,spur@optiven.co.ke,2.54703E+11
TRA1/47/B01/884,KITCHENETTE BISTRO & CAFÉ,Nairobi,Nairobi,Restaurants,kitchenettebistro@gmail.com,2.54721E+11
TRA1/47/B01/887,BOTANICA KITCHEN & GIN BAR,Nairobi,Nairobi,Restaurants,admin@thefoodlibrary.co.ke,729900539
TRA1/47/B01/888,INTI A NIKKEI EXPERIENCE T/A INTI BY JIT LTD,Nairobi,Nairobi,Restaurants,admin@thefoodlibrary.co.ke,720322842
TRA1/47/B01/902,OVER FALLS INVESTMENT LTD KILIMANJARO JAMIA,Nairobi,Nairobi,Restaurants,faisalislam818@gmail.com,742529165
TRA1/47/B01/905,BBROOD KENYA LTD (VILLAGE MKT),Nairobi,Nairobi,Restaurants,finance-ke@bbrood.com,757922613
TRA1/47/B01/906,BBROOD KENYA LTD (ADLIFE PLAZA),Nairobi,Nairobi,Restaurants,finance-ke@bbrood.com,757922613
TRA1/47/B01/907,BBROOD KENYA LTD(SARIT CENTER),Nairobi,Nairobi,Restaurants,finance-ke@bbrood.com,757922613
TRA1/47/B01/909,BBROOD KENYA LTD(MAGADI ROAD),Nairobi,Nairobi,Restaurants,finance-ke@bbrood.com,757922613
TRA1/47/B01/920,MAJID AL-FUTTAIM HYPERMARKETS-GALLERIA MALL,Nairobi,Nairobi,Restaurants,amarore@mafcarrefour.com,741586988
TRA1/47/B01/921,MAJID AL-FUTTAIM HYPERMARKETS-JUNCTION MALL,Nairobi,Nairobi,Restaurants,amarore@mafcarrefour.com,741586988
TRA1/47/B01/922,MAJID AL-FUTTAIM HYPERMARKETS-TRM,Nairobi,Nairobi,Restaurants,amarore@mafcarrefour.com,741586988
TRA1/47/B01/923,MAJID AL-FUTTAIM HYPERMARKETS-THE HUB,Nairobi,Nairobi,Restaurants,amarore@mafcarrefour.com,741586988
TRA1/47/B01/924,MAJID AL-FUTTAIM HYPERMARKETS-TWO RIVERS,Nairobi,Nairobi,Restaurants,amarore@mafcarrefour.com,741586988
TRA1/47/B01/925,"MAJID AL-FUTTAIM HYPERMARKET-SARIT ",Nairobi,Nairobi,Restaurants,amarore@mafcarrefour.com,741586988
TRA1/47/B01/926,MAJID AL-FUTTAIM HYPERMARKETS-VILLAGE MARKET,Nairobi,Nairobi,Restaurants,amarore@mafcarrefour.com,741586988
TRA1/47/B01/927,"VIBRO CLUB ",Nairobi,Nairobi,Restaurants,migirodavid@gmail.com,2.54723E+11
TRA1/47/B01/929,SIA GSR (k) LTD BURGER KING LAVINGTON,Nairobi,Nairobi,Restaurants,esther.karongo@servair.co.ke,738930306
TRA1/47/B01/932,ARTCAFFE COFFEE  & BAKERY LIMITED-KIMATHI STREET,Nairobi,Nairobi,Restaurants,sagi.vaknin@artcaffe.co.ke,709276000
TRA1/47/B01/933,ARTCAFFE COFFEE  & BAKERY LIMITED WESTMINSTER,Nairobi,Nairobi,Restaurants,sagi.vaknin@artcaffe.co.ke,709276000
TRA1/47/B01/934,ARTCAFFE COFFEE & BAKERY LIMITED-VALLEY ARCADE,Nairobi,Nairobi,Restaurants,sagi.vaknin@artcaffe.co.ke,709276000
TRA1/47/B01/935,ARTCAFFE COFFEE & BAKERY LIMITED-FREEDOM HEIGHTS,Nairobi,Nairobi,Restaurants,sagi.vaknin@artcaffe.co.ke,709276000
TRA1/47/B01/936,ARTCAFFE COFFEE  & BAKERY LIMITED-GALLANT PARKLANDS,Nairobi,Nairobi,Restaurants,sagi.vaknin@artcaffe.co.ke,709276000
TRA1/47/B01/937,ART CAFFE COFFEE  & BAKERY LIMITED-CAPITAL CENTRE,Nairobi,Nairobi,Restaurants,sagi.vaknin@artcaffe.co.ke,709276000
TRA1/47/B01/942,AFRITOPIA LTD T/A ROCOMAMAS SARIT,Nairobi,Nairobi,Restaurants,lafritopia@gmail.copm,2.54736E+11
TRA1/47/B01/949,SPRING VALLEY COFFEE ROASTERS LIMITED-LIMURU ROAD,Nairobi,Nairobi,Restaurants,coffee@springvalleycoffee.com,775111111
TRA1/47/B01/950,SPRING VALLEY COFFEE ROASTERS LIMITED-LANGATA ROAD,Nairobi,Nairobi,Restaurants,coffee@springvalleycoffee.com,703709709
TRA1/47/B01/951,SPRING VALLEY COFFEE ROASTERS LIMITED-LOWER KABETE,Nairobi,Nairobi,Restaurants,coffee@springvalleycoffee.com,703709709
TRA1/47/B01/952,SPRING VALLEY COFFEE ROASTER LIMITED-MWANZI ROAD,Nairobi,Nairobi,Restaurants,coffee@springvalleycoffee.com,775111111
TRA1/47/B02/953,LESAN CATERERS LTD,Nairobi,Nairobi,Restaurants,jlenkume@gmail.com,722582976
TRA1/47/B01/956,BBROOD LTD,Nairobi,Nairobi,Restaurants,finance-ke@bbrood.com,757922613
TRA1/47/B01/958,CAFE SAFARI,Nairobi,Nairobi,Restaurants,sales@safarisparkhotel.co.ke,25420363300
TRA1/47/B02/960,MAJID ALFUTTAIM HYPERMARKET-WESTGATE MALL,Nairobi,Nairobi,Other food and beverage services,amarore@mafcarrefour.com,741586988
TRA1/47/B01/971,SAAPE LTD KIAMBU RD,Nairobi,Nairobi,Restaurants,finance@saape.co.ke,728830467
TRA1/47/B01/977,FLAVOR TOWN CAFÉ-KAREN,Nairobi,Nairobi,Restaurants,mromar980@gmail.com,701000090
TRA1/47/B01/978,FLAVOR TOWN CAFÉ-VILLAGE MRK,Nairobi,Nairobi,Restaurants,mromar980@gmail.com,796000090
TRA1/47/B01/979,FLAVOR TOWN CAFÉ-CBD,Nairobi,Nairobi,Restaurants,mromar980@gmail.com,701000090
TRA1/47/B01/981,ANKOLE GRILL LTD,Nairobi,Nairobi,Restaurants,admin@ankole.co.ke,2.54734E+11
TRA1//B02/22871,NAIVAS LIMITED DELI-KASARANI,Nairobi,Nairobi,Other food and beverage services,onesmus.omari@naivas.co.ke,710110568
TRA1/47/B02/985,NAIVAS LIMITED DELI-UTAWALA,Nairobi,Nairobi,Other food and beverage services,onesmus.omari@naivas.co.ke,710110568
TRA1/47/B02/989,NAIVAS LIMITED DELI-MACHAKOS SUPERCENTRE,Nairobi,Nairobi,Other food and beverage services,onesmus.omari@naivas.co.ke,710110568
TRA1/47/B02/990,NAIVAS LIMITED DELI-UKUNDA,Nairobi,Nairobi,Other food and beverage services,onesmus.omari@naivas.co.ke,710110568
TRA1/47/B02/991,NAIVAS LIMITED DELI-GREEN HOUSE,Nairobi,Nairobi,Other food and beverage services,onesmus.omari@naivas.co.ke,710110568
TRA1/47/B02/992,NAIVAS LIMITED DELI-HOME GROUND,Nairobi,Nairobi,Other food and beverage services,onesmus.omari@naivas.co.ke,710110568
TRA1/47/B02/993,NAIVAS LIMITED DELI-CAPITAL CENTRE,Nairobi,Nairobi,Other food and beverage services,onesmus.omari@naivas.co.ke,710110568
TRA1/47/B02/994,NAIVAS LIMITED DELI-MOI AVENUE,Nairobi,Nairobi,Other food and beverage services,onesmus.omari@naivas.co.ke,710110568
TRA1/47/B02/995,NAIVAS LIMITED DELI-NEW RONALD NGALA,Nairobi,Nairobi,Other food and beverage services,onesmus.omari@naivas.co.ke,710110568
TRA1/47/B02/996,NAIVAS LIMITED DELI-GATEWAY,Nairobi,Nairobi,Other food and beverage services,onesmus.omari@naivas.co.ke,710110568
TRA1/47/B02/997,NAIVAS LIMITED DELI-LIKONI,Nairobi,Nairobi,Other food and beverage services,onesmus.omari@naivas.co.ke,710110568
TRA1/47/B02/998,NAIVAS LIMITED DELI-KITENGELA,Nairobi,Nairobi,Other food and beverage services,onesmus.omari@naivas.co.ke,710110568
TRA1/47/B02/1000,NAIVAS LIMITED DELI-RUARAKA,Nairobi,Nairobi,Other food and beverage services,onesmus.omari@naivas.co.ke,710110568
TRA1//B02/22919,QUICK MART LIMITED DELI-KISERIAN,Kajiado,Nairobi,Other food and beverage services,info@quickmart.co.ke,726666900
TRA1/47/B02/1033,QUICK MART LIMITED DELI-RONGAI EXPRESS,Nairobi,Nairobi,Other food and beverage services,info@quickmart.co.ke,726666900
TRA1/47/B02/1034,QUICK MART LIMITED DELI-RONGAI MAIN,Nairobi,Nairobi,Other food and beverage services,info@quickmart.co.ke,726666900
TRA1/47/B02/1035,MAJID AL FUTTAIM HYPERMARKET-MEGA,Nairobi,Nairobi,Other food and beverage services,amarore@mafcarrefour.com,741586988
TRA1/47/B02/1036,QUICK MART LIMITED DELI-EASTERN BYPASS 2,Nairobi,Nairobi,Other food and beverage services,info@quickmart.co.ke,726666900
TRA1/47/B02/1040,QUICK MART LIMITED DELI-NANYUKI,Laikipia,Nairobi,Other food and beverage services,info@quickmart.co.ke,726666900
TRA1/47/B02/1041,QUICK MART LIMITED DELI-BURUBURU,Nairobi,Nairobi,Other food and beverage services,info@quickmart.co.ke,726666900
TRA1/47/B02/1042,QUICK MART LIMITED DELI-DONHOLM,Nairobi,Nairobi,Other food and beverage services,info@quickmart.co.ke,726666900
TRA1/47/B02/1043,QUICK MART LIMITED DELI-EMBAKASI,Nairobi,Nairobi,Other food and beverage services,info@quickmart.co.ke,726666900
TRA1/47/B02/1044,QUICK MART LIMITED DELI-FEDHA,Nairobi,Nairobi,Other food and beverage services,info@quickmart.co.ke,726666900
TRA1/47/B02/1045,QUICK MART LIMITED DELI-JIPANGE,Nairobi,Nairobi,Other food and beverage services,info@quickmart.co.ke,726666900
TRA1/47/B02/1046,QUICK MART LIMITED DELI-KAHAWA WEST,Nairobi,Nairobi,Other food and beverage services,info@quickmart.co.ke,726666900
TRA1/47/B02/1048,QUICK MART LIMITED DELI-KILIMANI,Nairobi,Nairobi,Other food and beverage services,info@quickmart.co.ke,726666900
TRA1/47/B02/1050,QUICK MART LIMITED DELI MFANGANO,Nairobi,Nairobi,Other food and beverage services,info@quickmart.co.ke,726666900
TRA1/47/B02/1051,QUICK MART LIMITED DELI-ROYSAMBU,Nairobi,Nairobi,Other food and beverage services,info@quickmart.co.ke,726666900
TRA1/47/B02/1053,QUICK MART LIMITED DELI-UTAWALA MAIN,Nairobi,Nairobi,Other food and beverage services,info@quickmart.co.ke,726666900
TRA1/47/B01/1062,"ARTCAFFE COFFEE & BAKERY-ARGWINGS ARCADE ",Nairobi,Nairobi,Restaurants,sajivaknin@artcafe.co.ke,709276000
TRA1/47/B01/1086,THE WINE SHOP LTD,Nairobi,Nairobi,Restaurants,thewineshopkenya@gmail.com,718003326
TRA1/47/B01/1087,RR CORPORATE LIMITED-THE LIBRARY,Nairobi,Nairobi,Restaurants,thelibrarykenya@gmail.com,25473100006
TRA1/47/B01/1088,MAGIC PEAK LTD,Nairobi,Nairobi,Restaurants,bdmkaren@gmcplace.co.ke,2.54701E+11
TRA1/47/B01/1089,XA0DU INVESTMENTS LIMITED T/A THE VENCE BAR & BISTRO,Nairobi,Nairobi,Restaurants,accounts@thevenue.ke,25471187095
TRA1/47/B01/1090,JIT MART LTD T/A BAMBINO LITIN ITALIAN KITCH & BAR,Nairobi,Nairobi,Restaurants,admin@thefoodlibrary.co.ke,729900539
TRA1/47/B01/1103,ASMARA ENTERTAINMENT LIMITED,Nairobi,Nairobi,Restaurants,accounts@asmara.co.ke,727466263
TRA1/47/B01/1105,LI'S CHINESE RESTAURANT (NAIROBI) LTD,Nairobi,Nairobi,Restaurants,lischinesegigiri@yahoo.com,735838959
TRA1/47/B01/1106,SPICED BASIL LTD,Nairobi,Nairobi,Restaurants,spicedbasilltd@gmail.com,781234234
TRA1/47/B01/1112,SUN SWEET CENTRE LTD,Nairobi,Nairobi,Restaurants,hetal.pn23@gmail.com,737888880
TRA1/47/B01/1114,RAFIKI CAFE,Mombasa,Nairobi,Restaurants,david.otunga@servair.fr,720016850
TRA1/47/B01/1115,KWAHERI CAFE,Mombasa,Nairobi,Restaurants,customerservice@servair.co.ke,720016850
TRA1/47/B01/1116,DOMESTIC LOUNGE,Mombasa,Nairobi,Restaurants,customerservice@servair.co.ke,720016850
TRA1/47/B01/1118,KARIBU CAFE,Mombasa,Nairobi,Restaurants,customerservice@servair.co.ke,720016850
TRA1/47/B01/1119,MESO KITCHEN & BAR,Nairobi,Nairobi,Restaurants,admin@the foodlibrary.co.ke,729900539
TRA1/47/B01/1140,SLATE KITCHEN & BAR,Nairobi,Nairobi,Restaurants,admin@thefoodlibrary.co.ke,25472990053
TRA1/47/B01/1147,HABIB FOODS AND CATERING LTD,Nairobi,Nairobi,Restaurants,habibfoodsandcatering@gmail.com,24572151115
TRA1/47/B01/1148,MITSUKI GROUP LIMITED,Nairobi,Nairobi,Restaurants,wawerukinyanjui@gmail.com,746000888
TRA1/47/B01/1150,FUSION VEG LIMITED,Nairobi,Nairobi,Restaurants,fusionvegltoitax@gmail.com,2.54116E+11
TRA1/47/B01/1156,FOGO GAUCHO CHURRASCARIA LIMITED,Nairobi,Nairobi,Restaurants,fogogauchocaccts@gmail.com,708712255
