File Number,Company Name,,County,Regional Office,Service Category Name,Email,Phone
TRA1/47/C04/20693,AFROJET AVIATION SOLUTIONS LIMITED,,Nairobi,Nairobi,Travel Agency  (Ticketing),ben@afrojetair.co.ke,725517512
TRA1/16/C01/20697,Desert Hunters Holyday Tours and Travel.,,Machakos,Nairobi,Tour or safari operators,marafikiholyday@gmail.com,715988328
TRA3/3/C01/20703,BELEBO SAFARIS LIMITED,,Kilifi,Malindi,Tour or safari operators,belebosafari23@gmail.com,711561388
TRA1/47/C04/20711,KEWAFRIC INTERNATIONAL LIMITED,,Nairobi,Nairobi,Travel Agency  (Ticketing),kewafricinternational@gmail.com,722572599
TRA1/47/C01/20716,SKY QUEEN SAFARI LTD,,Nairobi,Nairobi,Tour or safari operators,skyqueensafaris@gmail.com,721719314
TRA1/47/C04/20717,Myriad Travel Limited,,Nairobi,Nairobi,Travel Agency  (Ticketing),njagi@myriad-travel.com,722509622
TRA1/47/C04/20722,KAISUT TRAVEL AGENCY LIMITED,,Nairobi,Nairobi,Travel Agency  (Ticketing),kaisuttravelagency@gmail.com,724356284
TRA1/47/C02/20737,NEXTUS INTRAWORLD CONSULTANCY LIMITED,,Nairobi,Nairobi,Tourist service vehicle hire,nextusintraworldltd@gmail.com,733494832
TRA1/47/C01/20739,MACADA ROYAL ADVENTURES,,Nairobi,Nairobi,Tour or safari operators,mungaimolly@gmail.com,722119277
TRA2/1/C02/20744,Careenas Holdings Ltd,,Mombasa,Mombasa,Tourist service vehicle hire,noorpradhan@yahoo.co.uk,733642063
TRA1/47/C04/20764,MODI WANDERS TRAVEL PATHS LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),s.modi@mwtravelpaths.co.ke,722650178
TRA1/47/C01/20775,MOFARM SAFARIS AND TRAVEL LTD,,Nairobi,Nairobi,Tour or safari operators,marketing@mofarmsafaris.com,723296485
TRA1/47/C01/20785,Rove Ventures Limited,,Nairobi,Nairobi,Tour or safari operators,travel@roveventures.co.ke,751465333
TRA3/18/C01/20796,WACARN GLOBAL LIMITED,,Nyandarua,Malindi,Tour or safari operators,wacarnglobal@gmail.com,708884220
TRA2/6/C01/20814,Genda Africa Tours Ltd.,,Taita-Taveta,Mombasa,Tour or safari operators,gendaafricatours@gmail.com,789641397
TRA1/47/C01/20816,VENTURE SAVANNAH TOURS & TRAVEL,,Nairobi,Nairobi,Tour or safari operators,info@venturesavannah.com,020 2316215
TRA1/47/C01/20827,Muzure Limited,,Nairobi,Nairobi,Tour or safari operators,peterk149@gmail.com,795805779
TRA1/47/C01/20830,WOA TRAVEL LTD T/A WAYS OF AFRICA TRAVEL,,Nairobi,Nairobi,Tour or safari operators,info@waysofafrica.com,728238988
TRA1/47/C01/20850,Rochar Africa Expeditions,,Nairobi,Nairobi,Tour or safari operators,awuorcharles7@gmail.com,724228143
TRA1/47/C01/20851,BALITI EXPEDITIONS LIMITED,,Nairobi,Nairobi,Tour or safari operators,balitiexpeditions@gmail.com,746676587
TRA1/47/C01/20854,ENCHANTED DESTINATIONS LIMITED,,Nairobi,Nairobi,Tour or safari operators,wamuyuv@gmail.com,721608094
TRA1/47/C04/20856,GRATO TRAVELS,,Nairobi,Nairobi,Travel Agency  (Ticketing),gratotravels@gmail.com,702574542
TRA7/31/C01/20865,TOM NJOGU SAFARIS LIMITED,,Laikipia,Nyeri,Tour or safari operators,tnjogu434@gmail.com,721829792
TRA1/47/C01/20868,Reliable Tours Limited,,Nairobi,Nairobi,Tour or safari operators,sales@reliabletoursafrica.com,0721 261 229
TRA1/47/C02/20875,GREENFIELDS SAFARIS LTD,,Nairobi,Nairobi,Tourist service vehicle hire,greenfieldssafaris@gmail.com,721975424
TRA1/22/C01/20885,Africa Outdoors Ltd,,Kiambu,Nairobi,Tour or safari operators,williekws@gmail.com,728839300
TRA1/47/C01/20897,Jamboree Africa Limited,,Nairobi,Nairobi,Tour or safari operators,info@jamboreesafaris.co.ke,720359849
TRA1/47/C01/20902,The Tailored Compass Limited,,Nairobi,Nairobi,Tour or safari operators,strategizemarketingkenya@gmail.com,798059990
TRA1/47/C04/20938,LUXE BY MULANDA LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),info@luxebymulanda.com,726410998
TRA1/47/C04/20939,Boze Adventures,,Nairobi,Nairobi,Travel Agency  (Ticketing),info@bozeadventures.com,728964871
TRA1/47/C02/20954,ROBINSON INVESTMENTS LIMITED,,Nairobi,Nairobi,Tourist service vehicle hire,agnesmukami22@gmail.com,721100599
TRA1/47/C04/20962,TVSE TRAVEL AGENCY LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),tvsetravelagencyltd@gmail.com,720926467
TRA1/47/C01/20995,"BUDGET  AFRICA  SAFARI ",,Nairobi,Nairobi,Tour or safari operators,budgetafricasafari@gmail.com,713524632
TRA1/22/C01/21003,KAMBU CAMPERS LIMITED,,Kiambu,Nairobi,Tour or safari operators,bookings@kambucampers.com,790771679
TRA1/47/C01/21018,ENGATUNY LUXURY SAFARIS,,Nairobi,Nairobi,Tour or safari operators,engatunyluxurysafaris@gmail.com,732007621
TRA1/47/C02/21027,KIBUNJA TOURS AND SAFARIS,,Nairobi,Nairobi,Tourist service vehicle hire,kibunjatours@gmail.com,722810022
TRA1/47/C01/21035,Safari Souk Limited,,Nairobi,Nairobi,Tour or safari operators,sales@safarisouk.com,736347846
TRA1/47/C01/21058,TEE OFF KENYA LTD,,Nairobi,Nairobi,Tour or safari operators,Phyllis@teeoffkenya.co.ke,772720630
TRA1/47/C04/21065,The Expertriates Travel LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),expertriatestravel@gmail.com,724307093
TRA1/47/C01/21076,PAUL'S UNTAMED ESCAPADES,,Nairobi,Nairobi,Tour or safari operators,paulsuntamed@gmail.com,711672949
TRA7/19/C04/21082,MAJESTIC QUEST TOURS & TRAVEL LIMITED,,Nyeri,Nyeri,Travel Agency  (Ticketing),majesticquest2@gmail.com,717992444
TRA7/14/C01/21083,SAFIRINASI LIMITED,,Embu,Nyeri,Tour or safari operators,safirinasiltd@gmail.com,724038324
TRA1/47/C01/21127,SOUL SYNC DISCOVERIES LTD,,Nairobi,Nairobi,Tour or safari operators,stylebysilviakenya@gmail.com,720415194
TRA2/2/C01/21162,TRUE NATURE TOURS LTD,,Kwale,Mombasa,Tour or safari operators,truenaturetours.ltd@gmail.com,719616485
TRA1/47/C01/21187,GASCHERRY SAFARIS  LTD,,Nairobi,Nairobi,Tour or safari operators,gascherrysafaris@gmail.com,720285568
TRA6/32/C01/21197,ONA NATURE SAFARIS LIMITED,,Nakuru,Nakuru,Tour or safari operators,INFO@ONANATURESAFARIS.COM,2.54713E+11
TRA1/47/C04/21201,Holiday Finder Tours and Travel Limited,,Nairobi,Nairobi,Travel Agency  (Ticketing),cherono@holidayfinder.co.ke,748910630
TRA1/22/C01/21206,African Bush Explorers,,Kiambu,Nairobi,Tour or safari operators,africanbushexplorers@gmail.com,725280729
TRA1/47/C04/21210,Tee Off Kenya Ltd,,Nairobi,Nairobi,Travel Agency  (Ticketing),phyllis@teeoffkenya.co.ke,721528882
TRA1/47/C01/21233,JORADO SAFARIS,,Nairobi,Nairobi,Tour or safari operators,info@joradosafaris.com,2.5473E+11
TRA1/47/C04/21243,DHAVAL TRAVELS,,Nairobi,Nairobi,Travel Agency  (Ticketing),sales@dhavaltravels.co.ke,2.54751E+11
TRA1/47/C01/21268,Sandmat Trails and Safaris,,Nairobi,Nairobi,Tour or safari operators,sandmattrails@gmail.com,788972939
TRA1/47/C01/21269,African Vulture Safaris Ltd,,Nairobi,Nairobi,Tour or safari operators,info@vulturesafaris.com,2.54743E+11
TRA1/47/C01/21292,MANDEVU SAFARIS LIMITED,,Nairobi,Nairobi,Tour or safari operators,mandevusafaris@gmail.com,719444777
TRA1/47/C01/21305,saluna travels limited,,Nairobi,Nairobi,Tour or safari operators,salunatravelsltdke@gmail.com,722751402
TRA6/32/C01/21307,SUNDECK TRAVELS,,Nakuru,Nakuru,Tour or safari operators,sundecktravels@gmail.com,723239083
TRA1/47/C04/21317,ESKEY TOURS AND TRAVEL AGENCY,,Nairobi,Nairobi,Travel Agency  (Ticketing),sospeterwaithaka1@gmail.com,25472361079
TRA1/47/C01/21320,LEISUREWAY ADVENTURES,,Nairobi,Nairobi,Tour or safari operators,leisurewayadventures@gmail.com,727107030
TRA1/47/C04/21326,MOFA WINGS TOURS & TRAVEL LIMITED,,Nairobi,Nairobi,Travel Agency  (Ticketing),Mokeiraonchiri22@gmail.com,705570087
TRA2/1/C01/21329,STEVERICHARD SAFARIS,,Mombasa,Mombasa,Tour or safari operators,okumumondi@gmail.com,721346810
TRA1/47/C01/21333,East African Exotic Safaris Ltd,,Nairobi,Nairobi,Tour or safari operators,info@eaexoticsafaris.com,720870952
TRA1/47/C01/21361,Modest Human Resource Tours & Travels,,Nairobi,Nairobi,Tour or safari operators,info@modestsafaris.com,721815675
TRA1/47/C01/21362,WILDSTOP KENYA LIMITED,,Nairobi,Nairobi,Tour or safari operators,WILDSTOPKENYALTD@GMAIL.COM,0
TRA2/02/C01/141,ZINGA PARADISE SAFARIS LTD,,Kwale,Mombasa,Tour or safari operators,ZPS.ADVENTURE@GMAIL.COM,712395503
TRA2/2/C01/21389,Sandy Trips ltd,,Kwale,Mombasa,Tour or safari operators,info@sandytrips.com,791171333
TRA1/47/C01/21396,SPLASH WORLD LIMITED,,Nairobi,Nairobi,Tour or safari operators,TOURS@SPLASHWORLDLTD.COM,726712323
TRA1/22/C04/21410,BLACK BOOT SAFARIS,,Kiambu,Nairobi,Travel Agency  (Ticketing),Blackbootsafari@gmail.com,724550415
TRA7/31/C01/21411,KEYF JOURNEYS LIMITED,,Laikipia,Nyeri,Tour or safari operators,keyfjourneys@gmail.com,718148383
TRA1/47/C01/21415,JOYMARK TOURS AND SAFARIS LIMITED,,Nairobi,Nairobi,Tour or safari operators,JOYMARKTOURS2022@GMAIL.COM,2.5472E+11
TRA1/47/C04/21419,HOTTRIPZ AGENCY LIMITED,,Nairobi,Nairobi,Travel Agency  (Ticketing),agencyhottripz@gmail.com,2.54712E+11
TRA1/22/C04/21444,DALANTA GLOBAL AGENCY LTD,,Kiambu,Nairobi,Travel Agency  (Ticketing),dalantaglobal2020@gmail.com,723387227
TRA1/47/C01/21462,ALYTEXX SAFARIS LIMITED,,Nairobi,Nairobi,Tour or safari operators,alytex92@gmail.com,725867498
TRA1/47/C01/21468,BARABARA VOYAGERS LIMITED,,Nairobi,Nairobi,Tour or safari operators,derekogare@gmail.com,724348779
TRA1/47/C01/21483,Arzoni Africa Safaris,,Nairobi,Nairobi,Tour or safari operators,awuorcharles7@gmail.com,724228143
TRA1/47/C01/21499,Beast Spoor Safaris,,Nairobi,Nairobi,Tour or safari operators,beastspoorsafaris@gmail.com,794706499
TRA1/47/C01/1,STAR TRAVEL & TOURS LTD,,Nairobi,Nairobi,Tour or safari operators,startravel@Connect.co.ke,722855410
TRA1/47/C01/4,TRANSWORLD SAFARIS VOL 3,,Nairobi,Nairobi,Tour or safari operators,tours@transworldsafaris.com,204451620
TRA1/47/C01/6,JAZBAN TOURS & TRAVEL,,Nairobi,Nairobi,Tour or safari operators,jazbantours@gmail.com,25472239754
TRA1/47/C04/11,STAR TRAVEL & TOURS LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),startravel@konnect.co.ke,722855410
TRA1/47/C01/12,SOUTHERN CROSS SAFARIS VOL 2,,Nairobi,Nairobi,Tour or safari operators,safaris@southerncrosskenya.com,111051941
TRA1/47/C01/16,HERITAGE OF AFRICAN JUNGLES TOURS AND TRAVEL,,Nairobi,Nairobi,Tour or safari operators,info@africanjungle.co.ke,721835032
TRA1/47/C01/17,BIG FIVE TOURS AND SAFARISLTD,,Nairobi,Nairobi,Tour or safari operators,bigfive@bigfiveafrica.com,2.54713E+11
TRA1/47/C01/18,GLOBAL HOLIDAYS INCENTIVES,,Nairobi,Nairobi,Tour or safari operators,info@travelhtt.com,795757768
TRA1/47/C04/21,BEYOND TRAVEL SERVICES LIMITED,,Nairobi,Nairobi,Travel Agency  (Ticketing),info@beyondtravel.co.ke,0
TRA1/47/C02/24,AVENUE CAR HIRE AND LEASING LIMITED,,Nairobi,Nairobi,Tourist service vehicle hire,info@avenuecarhire.com,724424168
TRA1/47/C01/25,ABERCROMBIE & KENT LIMITED,,Nairobi,Nairobi,Tour or safari operators,mmureithi@abercrombiekent.co.ke,722236293
TRA1/47/C01/27,BATELEUR SAFARIS LIMITED,,Nairobi,Nairobi,Tour or safari operators,beteleursafaris@swiftkenya.com,727869673
TRA1/47/C01/28,SAVAGE WILDERNESS SAFARIS LTD,,Nairobi,Nairobi,Tour or safari operators,info@savagewilderness.org,737835963
TRA1/47/C01/29,EAST AFRICAN WILDLIFE SAFARIS,,Nairobi,Nairobi,Tour or safari operators,info@eawskenya.com,722359068
TRA1/47/C01/30,RHINO SAFARIS LIMITED,,Nairobi,Nairobi,Tour or safari operators,info@rhinosafaris.net,722524708
TRA1/47/C01/38,VINTAGE AFRICA LIMITED,,Nairobi,Nairobi,Tour or safari operators,info@senseofafrica.co.ke,710524086
TRA1/47/C01/39,BEYOND TRAVEL SERVICES LTD,,Nairobi,Nairobi,Tour or safari operators,info@beyondtravel.co.ke,789317378
TRA1/47/C01/46,SAFARIPIN TOURS AND TRAVEL LTD,,Nairobi,Nairobi,Tour or safari operators,safaripintravel@gmail.com,0
TRA1/47/C01/50,SOUTHERN TRAVEL SERVICES LTD,,Nairobi,Nairobi,Tour or safari operators,info@sotherntravelservices.co.ke,712997336
TRA1/47/C04/51,SOUTHERN TRAVEL SERVICE,,Nairobi,Nairobi,Travel Agency  (Ticketing),info@sotherntravelservices.co.ke,712997336
TRA1/47/C01/52,MICATO SAFARIS,,Nairobi,Nairobi,Tour or safari operators,inquiries@micato.co.ke,721594004
TRA1/47/C01/55,DISCOVER KENYA SAFARIS,,Nairobi,Nairobi,Tour or safari operators,info@discoversafaris.net,731250967
TRA1/47/C04/57,IMPERIAL AIR SERVICES,,Nairobi,Nairobi,Travel Agency  (Ticketing),bookings@imperialsafaris.com,722895541
TRA1/47/C04/59,PREPS INTERNATIONAL GROUP LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),info@prepsafarisltd.com,721484350
TRA1/47/C01/62,NATURE EXPEDITION AFRICA LIMITED,,Nairobi,Nairobi,Tour or safari operators,info@natureexpeditions.com,700329744
TRA1/47/C01/63,SPORTING SAFARIS LTD,,Nairobi,Nairobi,Tour or safari operators,harsita.waters@gmail.com,723730813
TRA1/47/C04/207,TRAVEL N' STYLE,,Nairobi,Nairobi,Travel Agency  (Ticketing),info@travelinstyle.co.ke,112560590
TRA1/47/C01/67,TRAVEL N' STYLE LTD,,Nairobi,Nairobi,Tour or safari operators,info@travelinstyle.co.ke,112560590
TRA1/47/C01/69,GAME TRACKERS LTD,,Nairobi,Nairobi,Tour or safari operators,staceyb@gametrackersafaris.com,713219573
TRA1/47/C01/75,SATGURU TRAVEL AND TOUR SERVICES LTD,,Nairobi,Nairobi,Tour or safari operators,operations.nbo@satgurutravel.com,726304160
TRA1/47/C04/76,SATGURU TOURS & TRAVEL LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),operations.nbo@satgurutravel.com,726304160
TRA1/47/C04/78,TRAVEL CARE LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),info@travelcare.co.ke,25473399530
TRA1/47/C01/84,TRAVELSHOPPE COMPANY LTD,,Nairobi,Nairobi,Tour or safari operators,info@travelshoppe.co.ke,733511814
TRA1/47/C04/85,TRAVELSHOPPE COMPANY LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),info@travelshoppe.co.ke,733511814
TRA1/47/C04/87,GOOD HOPE TRAVEL AND TOURS LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),"info@goodhopetravel.co.ke ",0
TRA1/47/C01/86,GOOD HOPE TRAVEL AND TOURS LTD,,Nairobi,Nairobi,Tour or safari operators,info@goodhopetravel.co.ke,0
TRA1/47/C01/88,TRAVEL AFFAIRS LTD,,Nairobi,Nairobi,Tour or safari operators,travel@travelaffairs.com,2.54723E+11
TRA1/47/C04/89,TRAVEL AFFAIRS LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),travel@travelaffairs.com,2.54723E+11
TRA1/47/C01/93,WHITE LION SAFARIS LTD,,Nairobi,Nairobi,Tour or safari operators,whitelion@africaonline.co.ke,722517590
TRA1/47/C01/98,KER AND DOWNEY SAFARIS LTD,,Nairobi,Nairobi,Tour or safari operators,dennis@kerdowneysafaris.com,727002566
TRA1/47/C03/101,Z. BOSKOVIC AIR CHARTER LTD VOL 3,,Nairobi,Nairobi,Local air charter,benjamin.muange@boskovicaircharters.com,2.54724E+11
TRA1/47/C01/107,BIG SAFARI SERVICES AND TOURS & TRAVEL,,Nairobi,Nairobi,Tour or safari operators,bigsafaris@swiftkenya.com,2.54722E+11
TRA1/47/C04/108,FLIGHT CENTRES SERVICES LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),accounts@flightcentreskenya.com,733601441
TRA1/47/C01/109,JADE SEA JOURNEYS LTD,,Nairobi,Nairobi,Tour or safari operators,info@jadeseajourneys.com,725547951
TRA1/47/C01/114,SPEEDBIRD TRAVEL & SAFARIS LTD,,Nairobi,Nairobi,Tour or safari operators,info@speedbirdsafaris.com,722519303
TRA1/47/C04/115,ONE NINE FIVE TRAVELS LIMITED,,Nairobi,Nairobi,Travel Agency  (Ticketing),info@195travels.com,25472484141
TRA1/47/C04/117,KAMBO TRAVEL AGENCY LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),info@kambotravels.com,733638555
TRA1/47/C01/119,APOLLO TOURS & TRAVEL LIMITED,,Nairobi,Nairobi,Tour or safari operators,info@apollotours.co.ke,704838617
TRA1/47/C01/120,SPORTSMENS SAFARIS & TOURS LTD,,Nairobi,Nairobi,Tour or safari operators,info@sportsmens-safaris.com,722512308
TRA1/47/C01/132,CHAMELEON TOURS LTD,,Nairobi,Nairobi,Tour or safari operators,accounts@safarisbychameleon.com,700888055
TRA1/47/C01/133,WILD DESTINATIONS LTD,,Nairobi,Nairobi,Tour or safari operators,"wld.dest@africaonline.co.ke ",733381471
TRA1/47/C04/134,WILD DESTINATIONS LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),"wld.dest@africaonline.co.ke ",733381471
TRA1/47/C01/135,LONGREN TOURS & TRAVEL,,Nairobi,Nairobi,Tour or safari operators,longren0irobi@gmail.com,722600131
TRA1/47/C01/141,Hemingways Travel Limited,,Nairobi,Nairobi,Tour or safari operators,info@hemingways.co,709195000
TRA1/47/C02/143,TANDALA TRANSPORT LTD,,Nairobi,Nairobi,Tourist service vehicle hire,kiguzo@libertyafrica.com,733826239
TRA1/47/C04/146,ATTIC TOURS & TRAVEL LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),info@attictravel.com,25472131140
TRA1/47/C01/161,CHELI & PEACOCK LIMITED,,Nairobi,Nairobi,Tour or safari operators,"rachael.kinyua@chelipeacock.com ",730127000
TRA1\47\C04\165,FLY AIR LIMITED,,Nairobi,Nairobi\EldoretNyeri\C0Eldoret\NairobiNakuruKisumu,Travel Agency  (Ticketing),info@flyairltd.co.ke,720700917
TRA1/47/C01/170,ROBIN HURT SAFARIS VOL. 3,,Nairobi,Nairobi,Tour or safari operators,info@robinhurtsafariskenya.com,2.54723E+11
TRA1/47/C01/171,AFRICA ECO CAMPS LTD,,Nairobi,Nairobi,Tour or safari operators,sos@ilkeliani.com,722308853
TRA1/47/C01/172,KOBO SAFARIS LTD,,Nairobi,Nairobi,Tour or safari operators,invoices@kobo-safaris.com,722752982
TRA1/47/C04/173,ARCHERS TOURS & TRAVELS LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),archers@archersafrica.com,722394892
TRA1/47/C01/175,DUNDAS SAFARI LTD,,Nairobi,Nairobi,Tour or safari operators,dundassafaris@gmail.com,25472425260
TRA1/47/C01/176,FLIGHT CENTRES SERVICES LTD,,Nairobi,Nairobi,Tour or safari operators,accounts@flight.centreskenya.com,722834055
TRA1/47/C04/318,CHARLESTON TRAVEL LTD (WESTLANDS),,Nairobi,Nairobi,Travel Agency  (Ticketing),info@ke.fcm.travel,702032557
TRA1/47/C04/183,RAYDOLL TOURS & TRAVELS LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),accounts@raydolltours.co.ke,0
TRA1/47/C01/188,SETH-SMITH INVESTMENTS LTD,,Nairobi,Nairobi,Tour or safari operators,mhfsethsmith@gmail.com,708844859
TRA1/47/C01/202,G-ADVENTURES,,Nairobi,Nairobi,Tour or safari operators,africaaccounts@gadventures.com,725040882
TRA1/47/C04/203,Hemingways Travel Limited,,Nairobi,Nairobi,Travel Agency  (Ticketing),admin.kop@hemingways.co,709195000
TRA1/47/C01/205,AFRICAN LATITUDE K Ltd,,Nairobi,Nairobi,Tour or safari operators,robyn@africanlatitude.com,722515377
TRA1/47/C04/206,AIR MASTERS LIMITED,,Nairobi,Nairobi,Travel Agency  (Ticketing),airmasters@galileo.co.ke,713135751
TRA1/47/C01/209,KABIRU TOURS & TRAVEL,,Nairobi,Nairobi,Tour or safari operators,info@kabirutours.co.ke,722751338
TRA1/47/C04/210,SAMSON SAFARIS,,Kiambu,Nairobi,Travel Agency  (Ticketing),tours@samsonsafaris.com,705917381
TRA1/47/C04/211,SHEENA TRAVEL GROUP LIMITED,,Nairobi,Nairobi,Travel Agency  (Ticketing),info@sheenatravelgroup.co.ke,0
TRA1/47/C01/212,AFRICAN RIFT ODYSSEY,,Kiambu,Nairobi,Tour or safari operators,info@africanriftodyssey.com,715372694
TRA1/47/C01/216,EXPEDITION KENYA SAFARI LTD,,Nairobi,Nairobi,Tour or safari operators,info@expeditionkenyasafari.com,0
TRA1/47/C02/217,ESELENKEI TRAVELS,,Nairobi,Nairobi,Tourist service vehicle hire,eselenkeitravels@gmail.com,720590401
TRA1/47/C01/221,AANIKA KARIBU SAFARIS,,Nairobi,Nairobi,Tour or safari operators,info@safarisinkenya.net,2547881225
TRA1/47/C02/228,ZACK NATURE TOURS & SAFARIS,,Nairobi,Nairobi,Tourist service vehicle hire,zacknature@@gmail.com,706036345
TRA1/47/C02/230,CAT DISCOVERIES SAFARIS,,Nairobi,Nairobi,Tourist service vehicle hire,sales@catdiscoveriesafaris.com,729827428
TRA1/47/C04/237,SPLASH WORLD LIMITED,,Nairobi,Nairobi,Travel Agency  (Ticketing),info@splashworldltd.com,726712323
TRA1/47/C04/242,CHARLESTON TRAVEL LTD (JKIA),,Nairobi,Nairobi,Travel Agency  (Ticketing),info@ke.fcm.travel,702032557
TRA1/47/C01/241,CHARLESTON TRAVEL LTD (JKIA),,Nairobi,Nairobi,Tour or safari operators,info@ke.fcm.travel,204266000
TRA1/47/C01/244,AFRICAN ENCOUNTER TRAVEL LTD VOLUME II,,Nairobi,Nairobi,Tour or safari operators,susan@africaencounter.org,2.54725E+11
TRA1/47/C02/247,EXECUTIVE RENTAL LTD VOL 3,,Nairobi,Nairobi,Tourist service vehicle hire,hita@executiverentalsltd.com,790487316
TRA1/47/C01/256,PAL-DAVIS ADVENTURES,,Nairobi,Nairobi,Tour or safari operators,paldavisadventures@gmail.com,722440630
TRA1/47/C01/23328,HIGHLIGHT TRAVEL LTD,,Nairobi,Nairobi,Tour or safari operators,financeadmin@bcdtravel.co.ke,0
TRA1/47/C04/267,HIGHLIGHT TRAVEL LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),financeadmin@bcdtravel.co.ke,020-2203000
TRA1/47/C01/282,MILLENNIUM TOURS & TRAVEL,,Nairobi,Nairobi,Tour or safari operators,info@millenniumtoursandtravel.com,25474074486
TRA1/47/C04/283,RICKSHAW TRAVELS LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),admin@rickshawtravels.com,2.54722E+11
TRA1/47/C04/294,TAIPAN VACATIONS & TRAVELS LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),vacations@taipantravel.co.ke,2.54781E+11
TRA1/47/C01/295,WILDTREK SAFARIS,,Nairobi,Nairobi,Tour or safari operators,reservations@wildtreksafaris.co.ke,25472027181
TRA1/47/C04/296,INCENTIVE TRAVEL LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),info@incentivetravel.co.ke,722483043
TRA1/47/C01/297,INCENTIVE TRAVEL LTD,,Nairobi,Nairobi,Tour or safari operators,info@incentivetravel.co.ke,722483043
TRA1/47/C04/298,FLEET TRAVEL LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),manzoor@fleettravel.com,722200763
TRA1/47/C01/301,OLOLO LIMITED T/A OLOLO TOURS,,Kajiado,Nairobi,Tour or safari operators,info@olololodge.com,708844818
TRA1/47/C01/309,AFRICAN OASIS SAFARIS,,Nairobi,Nairobi,Tour or safari operators,kim@africanoasis.co.ke,720754195
TRA1/47/C01/310,EAST AFRICA EAGLE (K) LTD,,Nairobi,Nairobi,Tour or safari operators,accounts@africanlodge.co.ke,725914598
TRA1/47/C01/312,PRIVATE SAFARIS (EA) LTD,,Nairobi,Nairobi,Tour or safari operators,info.ke@privatesafaris.com,722211231
